date,cape_max,freezing_min,hail_environment,hail_actual,precipitation_mm
1950-05-11,1314.0,4841.0,False,False,3.0
1950-05-12,506.0,4752.0,False,False,0.0
1950-05-13,1909.0,4833.0,True,False,28.0
1950-05-14,229.0,4797.0,False,False,1.1
1950-05-15,440.0,4769.0,False,False,0.7
1950-05-16,2021.0,4736.0,False,False,10.7
1950-05-17,1314.0,4627.0,False,False,1.5
1950-05-18,848.0,4438.0,False,False,24.8
1950-05-19,1158.0,4452.0,False,False,3.4
1950-05-20,697.0,4583.0,False,False,0.0
1950-05-21,1391.0,5047.0,False,False,15.9
1950-05-22,2754.0,4809.0,False,False,14.6
1950-05-23,2707.0,5195.0,False,False,17.3
1950-05-24,2821.0,4732.0,False,False,8.9
1950-05-25,919.0,4634.0,False,False,2.5
1950-05-26,0.0,4896.0,False,False,7.0
1950-05-27,2030.0,4766.0,False,False,2.2
1950-05-28,0.0,4395.0,False,False,25.4
1950-05-29,648.0,4687.0,False,False,4.9
1950-05-30,903.0,4697.0,False,False,2.1
1950-05-31,2061.0,4500.0,False,False,49.7
1950-06-01,283.0,4815.0,False,False,0.0
1950-06-02,661.0,4702.0,False,False,6.5
1950-06-03,557.0,4844.0,False,False,13.8
1950-06-04,1908.0,4541.0,False,False,37.3
1950-06-05,268.0,4938.0,False,False,0.0
1950-06-06,314.0,4514.0,False,False,0.0
1950-06-07,758.0,5058.0,False,False,0.7
1950-06-08,1527.0,4814.0,False,False,16.5
1950-06-09,244.0,5037.0,False,False,0.0
1950-06-10,611.0,4807.0,False,False,10.6
1950-06-11,429.0,4671.0,False,False,0.0
1950-06-12,293.0,4744.0,False,False,0.0
1950-06-13,1742.0,4993.0,False,False,1.9
1950-06-14,773.0,4806.0,False,False,27.0
1950-06-15,64.0,4830.0,False,False,0.2
1950-06-16,0.0,4574.0,False,False,44.2
1950-06-17,157.0,4778.0,False,False,2.6
1950-06-18,2121.0,4777.0,False,False,38.1
1950-06-19,386.0,5192.0,False,False,0.0
1950-06-20,1820.0,4694.0,False,False,4.0
1950-06-21,494.0,4508.0,False,False,0.0
1950-06-22,0.0,4893.0,False,False,0.0
1950-06-23,1698.0,4814.0,False,False,5.7
1950-06-24,50.0,4660.0,False,False,0.0
1950-06-25,813.0,5087.0,False,False,19.0
1950-06-26,733.0,4803.0,False,False,0.6
1950-06-27,991.0,4889.0,False,False,0.0
1950-06-28,197.0,4815.0,False,False,0.0
1950-06-29,68.0,4686.0,False,False,0.0
1950-06-30,1988.0,4803.0,False,False,11.2
1950-07-01,465.0,4915.0,False,False,1.4
1950-07-02,406.0,4611.0,False,False,0.5
1950-07-03,1244.0,4595.0,False,False,2.3
1950-07-04,583.0,5036.0,False,False,0.0
1950-07-05,382.0,4935.0,False,False,0.0
1950-07-06,469.0,4731.0,False,False,0.0
1950-07-07,160.0,5068.0,False,False,0.0
1950-07-08,620.0,4891.0,False,False,3.2
1950-07-09,212.0,4650.0,False,False,0.0
1950-07-10,0.0,4809.0,False,False,0.0
1950-07-11,17.0,4924.0,False,False,0.0
1950-07-12,253.0,5093.0,False,False,0.0
1950-07-13,142.0,4814.0,False,False,0.0
1950-07-14,637.0,5129.0,False,False,6.7
1950-07-15,229.0,4613.0,False,False,0.0
1950-07-16,94.0,4926.0,False,False,0.2
1950-07-17,892.0,4491.0,False,False,8.4
1950-07-18,541.0,4818.0,False,False,0.0
1950-07-19,1954.0,4972.0,False,False,4.6
1950-07-20,325.0,4782.0,False,False,3.9
1950-07-21,50.0,4527.0,False,False,0.6
1950-07-22,658.0,4888.0,False,False,0.0
1950-07-23,650.0,4851.0,False,False,0.0
1950-07-24,342.0,4722.0,False,False,0.0
1950-07-25,767.0,5105.0,False,False,0.0
1950-07-26,820.0,4493.0,False,False,0.0
1950-07-27,2178.0,4595.0,False,False,34.3
1950-07-28,0.0,5050.0,False,False,0.0
1950-07-29,2320.0,4858.0,False,False,5.2
1950-07-30,250.0,4612.0,False,False,0.0
1950-07-31,273.0,4757.0,False,False,0.0
1950-08-01,1095.0,5158.0,False,False,9.6
1950-08-02,1652.0,4436.0,True,True,30.0
1950-08-03,2728.0,4744.0,False,False,16.7
1950-08-04,1173.0,4963.0,False,False,7.9
1950-08-05,1253.0,4417.0,False,False,3.1
1950-08-06,291.0,4799.0,False,False,2.7
1950-08-07,383.0,4821.0,False,False,0.0
1950-08-08,971.0,4444.0,False,False,15.4
1950-08-09,127.0,4749.0,False,False,3.2
1950-08-10,393.0,4890.0,False,False,0.0
1950-08-11,1263.0,4738.0,False,False,9.0
1950-08-12,496.0,4650.0,False,False,0.0
1950-08-13,214.0,4415.0,False,False,0.0
1950-08-14,1014.0,5090.0,False,False,8.1
1950-08-15,0.0,4773.0,False,False,0.0
1950-08-16,1059.0,4532.0,False,False,11.4
1950-08-17,411.0,4439.0,False,False,0.0
1950-08-18,1048.0,5052.0,False,False,10.8
1950-08-19,414.0,4813.0,False,False,0.0
1950-08-20,275.0,4750.0,False,False,0.0
1950-08-21,2795.0,4675.0,False,False,32.4
1950-08-22,1273.0,4491.0,False,False,15.8
1950-08-23,150.0,4965.0,False,False,0.0
